Movie,Duration,Year,Rating,Reviews
The Shawshank Redemption,2h 22m,1994,9.3,2.9
The Godfather,2h 55m,1972,9.2,2.1
The Dark Knight,2h 32m,2008,9.0,2.9
The Godfather: Part II,3h 22m,1974,9.0,1.4
12 Angry Men,1h 36m,1957,9.0,884
Schindler's List,3h 15m,1993,9.0,1.5
The Lord of the Rings: The Return of the King,3h 21m,2003,9.0,2
Pulp Fiction,2h 34m,1994,8.9,2.3
The Lord of the Rings: The Fellowship of the Ring,2h 58m,2001,8.9,2
"Il Buono, Il Brutto, Il Cattivo",2h 41m,1966,8.8,824
Forrest Gump,2h 22m,1994,8.8,2.3
The Lord of the Rings: The Two Towers,2h 59m,2002,8.8,1.8
Fight Club,2h 19m,1999,8.8,2.4
Inception,2h 28m,2010,8.8,2.6
Star Wars: Episode V - The Empire Strikes Back,2h 4m,1980,8.7,1.4
The Matrix,2h 16m,1999,8.7,2.1
GoodFellas,2h 25m,1990,8.7,1.3
One Flew Over the Cuckoo's Nest,2h 13m,1975,8.7,1.1
Interstellar,2h 49m,2014,8.7,2.2
Se7en,2h 7m,1995,8.6,1.8
It's a Wonderful Life,2h 10m,1946,8.6,506
Shichinin No Samurai,3h 27m,1954,8.6,372
The Silence of the Lambs,1h 58m,1991,8.6,1.6
Saving Private Ryan,2h 49m,1998,8.6,1.5
City of God,2h 10m,2002,8.6,813
